gene_name	gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
OXCT1	ENSG00000083720.14	1058.634	-0.3597503	0.16824303	0.009834104	0.06363865
METTL6	ENSG00000206562.13	503.2083	0.2693434	0.11381535	0.009842261	0.06367072
ENSG00000197550	ENSG00000197550.3	448.5077	0.7558633	0.74023959	0.009854073	0.06372642
EXOSC6	ENSG00000223496.3	1668.83	0.3489496	0.16074479	0.009861077	0.063751
RALA	ENSG00000006451.9	1693.742	0.3093003	0.13574458	0.009880746	0.06375388
HAUS4	ENSG00000092036.20	763.417	-0.3241001	0.14462472	0.009877483	0.06375388
PMAIP1	ENSG00000141682.13	94.95155	-0.6529943	0.49772289	0.00987927	0.06375388
P2RY12	ENSG00000169313.11	1546.095	0.6213496	0.45435176	0.009879549	0.06375388
CATSPER1	ENSG00000175294.6	15.64158	-0.7117664	0.59105297	0.009878164	0.06375388
AKR1C1	ENSG00000187134.15	227.5932	-0.7445162	0.66587833	0.009868684	0.06375388
ENSG00000167774	ENSG00000167774.2	27.66884	-0.7540073	0.75064275	0.009890104	0.06379358
EPHX2	ENSG00000120915.16	174.0542	-0.5082418	0.31369384	0.009893472	0.06379462
MICU3	ENSG00000155970.14	542.4286	0.5423369	0.35458547	0.009902731	0.06383364
HSPD1P4	ENSG00000257576.1	25.44598	0.5448364	0.35779123	0.009916707	0.06390303
PHKA1	ENSG00000067177.16	101.5086	-0.6113883	0.44197523	0.009928881	0.06396077
EDRF1	ENSG00000107938.19	784.7832	0.3720539	0.17784783	0.009961396	0.06411849
KIT	ENSG00000157404.18	134.0373	-0.6409293	0.48235571	0.009963032	0.06411849
GATD3	ENSG00000160221.19	238.5295	-0.5967452	0.42337068	0.009958507	0.06411849
LINC00092	ENSG00000225194.5	44.67799	-0.6911797	0.55790704	0.009977352	0.06418989
OSGIN2	ENSG00000164823.12	2613.47	0.4708127	0.27167829	0.009985359	0.06422064
GET1	ENSG00000182093.16	907.8428	0.2964417	0.12870689	0.01001852	0.06441312
CD69	ENSG00000110848.8	456.0151	-0.6990566	0.57275891	0.01003368	0.06448973
BTG2	ENSG00000159388.6	4594.36	-0.6130874	0.44601226	0.01004433	0.06451652
ENSG00000251023	ENSG00000251023.1	67.76604	0.5472396	0.36218068	0.01004261	0.06451652
ENSG00000277386	ENSG00000277386.1	42.16335	0.7135716	0.60041678	0.01006299	0.06461553
HEATR1	ENSG00000119285.12	2253.965	0.4176876	0.21742902	0.01008425	0.06472007
H2AC6	ENSG00000180573.10	1675.02	0.5224994	0.33255078	0.01008578	0.06472007
GAS6-DT	ENSG00000272695.3	31.44887	-0.6470581	0.49367071	0.01010977	0.06485312
F10-AS2	ENSG00000283828.1	12.33988	-0.5900613	0.41711768	0.010125	0.06490941
ENSG00000289504	ENSG00000289504.1	77.69276	0.5131917	0.32179933	0.01012507	0.06490941
USP28	ENSG00000048028.13	589.5325	0.350724	0.16283875	0.0101285	0.06491046
RNMT	ENSG00000101654.19	2125.757	0.3669063	0.1747091	0.01016694	0.06492681
ST3GAL4	ENSG00000110080.21	2685.273	-0.5054474	0.31277895	0.01014293	0.06492681
TGFB3	ENSG00000119699.9	242.802	-0.633601	0.47576436	0.0101646	0.06492681
RC3H1	ENSG00000135870.14	3485.048	0.5213753	0.33198795	0.01016303	0.06492681
NABP2	ENSG00000139579.14	467.204	-0.4298037	0.22958664	0.0101558	0.06492681
MMS22L	ENSG00000146263.13	645.7952	0.4870649	0.29144587	0.01015595	0.06492681
C10orf90	ENSG00000154493.20	104.9074	-0.7364794	0.78462903	0.01016635	0.06492681
TENT5C	ENSG00000183508.6	200.7709	-0.6078852	0.44082906	0.01015489	0.06492681
BACE1	ENSG00000186318.19	3676.738	-0.3609122	0.17022994	0.01015988	0.06492681
UBA6-DT	ENSG00000248049.9	634.6429	0.3401753	0.15570614	0.01014845	0.06492681
ENSG00000253284	ENSG00000253284.2	97.38707	0.7473902	0.75145087	0.01015989	0.06492681
PILRB	ENSG00000121716.21	599.1607	-0.4994029	0.305971	0.01017641	0.06496643
SPN	ENSG00000197471.13	475.0939	-0.596319	0.42609336	0.01018562	0.06500436
SORD	ENSG00000140263.16	602.9678	0.5107113	0.31952805	0.01019544	0.06504617
PLIN2	ENSG00000147872.11	791.1335	-0.4981397	0.30482133	0.01021295	0.065137
TRABD-AS1	ENSG00000273253.3	25.57044	-0.4651692	0.26725722	0.01022267	0.06517814
DGUOK-AS1	ENSG00000237883.5	25.92905	-0.651718	0.50278241	0.01023574	0.06524056
WIPF1	ENSG00000115935.20	6602.402	0.3141436	0.1395004	0.0102427	0.06526399
ENSG00000308559	ENSG00000308559.1	18.46926	0.7353508	0.66052549	0.01025839	0.06534308
PRODH	ENSG00000100033.18	254.6678	-0.7438408	0.69450646	0.01026182	0.06534399
ANKRD36C	ENSG00000174501.15	2067.373	0.6540736	0.50711964	0.01028118	0.06544632
ARHGEF3	ENSG00000163947.13	735.8267	-0.4515388	0.25294566	0.01029572	0.06549698
ENSG00000237161	ENSG00000237161.4	20.3731	0.6784027	0.54478744	0.0102936	0.06549698
CD3D	ENSG00000167286.12	55.32213	-0.7178394	0.61765637	0.01030265	0.06552011
LSM7	ENSG00000130332.16	306.5614	-0.4561734	0.2580906	0.01031673	0.06558869
TMT1B	ENSG00000170439.8	141.8517	-0.7393366	0.67895527	0.01032274	0.06560595
MASP1	ENSG00000127241.19	20.64047	-0.7422955	0.69341912	0.01032899	0.06562468
PYCR2	ENSG00000143811.21	1029.843	-0.3815623	0.18687263	0.0103433	0.06569467
PLCD4	ENSG00000115556.15	37.89164	-0.62979	0.47413347	0.01037735	0.06580589
PLCG1	ENSG00000124181.16	1819.175	-0.4357773	0.23696042	0.0103773	0.06580589
EXOC4	ENSG00000131558.17	2572.303	0.3467318	0.1608472	0.01037446	0.06580589
MTMR14	ENSG00000163719.21	948.51	0.2599187	0.10994494	0.01036935	0.06580589
RICTOR	ENSG00000164327.15	3202.891	0.481328	0.28665722	0.01037106	0.06580589
HMGN5	ENSG00000198157.12	184.3924	-0.5157957	0.32764221	0.01040109	0.06591442
RASL10B	ENSG00000270885.3	28.82599	-0.6570617	0.51389599	0.01039826	0.06591442
ENSG00000285971	ENSG00000285971.2	34.72188	0.7074332	0.59984082	0.01041794	0.06600021
CEBPB	ENSG00000172216.7	1879.339	-0.4881748	0.29503438	0.01042473	0.06602221
MCRIP2	ENSG00000172366.21	126.4363	-0.5566877	0.37849174	0.0104294	0.06603077
MON1A	ENSG00000164077.16	246.1073	-0.3984064	0.2015612	0.01043435	0.06604109
CYP1B1	ENSG00000138061.14	3262.448	-0.7322976	0.77685917	0.01046445	0.06621052
WDR5B	ENSG00000196981.5	368.9872	0.3302825	0.1501925	0.0104892	0.06634603
DRP2	ENSG00000102385.14	11601.46	-0.6853494	0.82527764	0.01049572	0.06635714
HOXD4	ENSG00000170166.6	20.76784	-0.6967853	0.58173846	0.01049763	0.06635714
GRIN3A	ENSG00000198785.7	449.5938	0.7346175	0.67406494	0.01050565	0.0663868
ENSG00000231563	ENSG00000231563.4	72.77388	0.5405622	0.35927845	0.01051751	0.0664406
APOBEC3D	ENSG00000243811.13	113.0929	-0.508606	0.32017953	0.01052639	0.06646771
ENSG00000283355	ENSG00000283355.1	41.75828	0.6759946	0.54637857	0.01052848	0.06646771
UTP25	ENSG00000117597.19	880.7105	0.2773538	0.11931423	0.01053196	0.06646861
PCDH10-DT	ENSG00000250241.8	106.0713	0.6394235	0.49058988	0.01053628	0.06647479
ZMIZ1	ENSG00000108175.20	5372.811	-0.4365875	0.23881145	0.01054118	0.06648462
USB1	ENSG00000103005.14	623.8374	-0.4375433	0.23985912	0.01055043	0.06650081
SLX9	ENSG00000160256.15	130.6889	-0.4133276	0.21579573	0.01055003	0.06650081
HACD3	ENSG00000074696.14	2365.732	-0.3333106	0.15238621	0.01056964	0.06651654
IGLC3	ENSG00000211679.2	129.2904	-0.6612146	0.83432418	0.01056252	0.06651654
ZFP91-CNTF	ENSG00000255073.8	89.87594	-0.7231219	0.78891093	0.01056325	0.06651654
MROH7-TTC4	ENSG00000271723.5	46.22635	-0.7278145	0.65470083	0.01056691	0.06651654
ENSG00000288095	ENSG00000288095.3	60.78846	0.5193611	0.33363154	0.01056751	0.06651654
RALGAPA1	ENSG00000174373.17	4037.598	0.4799572	0.28688982	0.01059189	0.06663547
CRYGN	ENSG00000127377.10	43.71711	0.6737368	0.54469796	0.01061542	0.06669231
PTGES2	ENSG00000148334.17	446.4676	-0.3962939	0.20049488	0.01060679	0.06669231
RNF168	ENSG00000163961.4	1091.622	0.3525558	0.16572228	0.0106191	0.06669231
CEND1	ENSG00000184524.7	24.64046	-0.73868	0.73652609	0.01062103	0.06669231
LINC02427	ENSG00000271538.8	95.5848	0.5942452	0.4295683	0.01061914	0.06669231
ENSG00000293660	ENSG00000293660.1	23.1829	0.6322124	0.48169641	0.01061793	0.06669231
APBA3	ENSG00000011132.13	285.2967	-0.4655898	0.27090828	0.01064585	0.06680403
NRDE2	ENSG00000119720.19	1111.032	0.2890366	0.12591133	0.01064849	0.06680403
C12orf60	ENSG00000182993.6	86.81107	0.4514911	0.25532592	0.0106489	0.06680403
ENSG00000289298	ENSG00000289298.3	265.8455	-0.6871608	0.56890404	0.01066742	0.06689914
ADGRL2	ENSG00000117114.22	1679.801	0.6098316	0.45149555	0.01068063	0.06696088
CORO1A	ENSG00000102879.18	1315.463	-0.5539691	0.37820913	0.01069614	0.06701591
CHM	ENSG00000188419.15	1265.714	0.3933046	0.19826315	0.01069295	0.06701591
ENSG00000299228	ENSG00000299228.1	16.22485	-0.628757	0.47820079	0.01070066	0.0670231
ANKRD29	ENSG00000154065.18	341.6692	-0.6211263	0.46761372	0.01071153	0.06707009
TFPT	ENSG00000105619.15	141.6332	-0.4557796	0.2604856	0.01071586	0.06707456
AP1G1	ENSG00000166747.14	3632.183	0.2919046	0.12765986	0.01071899	0.06707456
VASH2	ENSG00000143494.17	21.83166	-0.6817519	0.56086144	0.0107248	0.06708982
ENSG00000242880	ENSG00000242880.3	38.45023	0.5255689	0.3429892	0.01073691	0.06714452
ZNF14	ENSG00000105708.9	410.9452	0.370044	0.17923278	0.0107412	0.06714583
USP38	ENSG00000170185.13	1659.386	0.3095123	0.13793436	0.01074712	0.06714583
LINC00240	ENSG00000224843.9	21.65866	-0.6301611	0.48100434	0.01074725	0.06714583
ENSG00000291042	ENSG00000291042.2	50.51731	0.4148304	0.2182973	0.01075308	0.06716121
TENT2	ENSG00000164329.16	2384.707	0.4033771	0.20768517	0.01078196	0.06727819
CCDC43	ENSG00000180329.15	759.7947	0.2780142	0.12014126	0.01078155	0.06727819
KANSL1L-AS1	ENSG00000229127.2	141.3782	0.6234303	0.47201306	0.0107818	0.06727819
CD276	ENSG00000103855.19	1524.501	-0.4139632	0.21769149	0.01079638	0.06734707
EPHB4	ENSG00000196411.11	784.9824	-0.4759659	0.28395132	0.01080055	0.06735194
KCNAB2	ENSG00000069424.16	684.8709	-0.4993087	0.31170089	0.01081983	0.06738824
SUSD6	ENSG00000100647.9	2666.871	-0.3956798	0.20088586	0.0108118	0.06738824
PURPL	ENSG00000250337.11	58.78375	0.7025237	0.60273207	0.01081433	0.06738824
ARHGAP23	ENSG00000275832.5	2696.16	-0.443186	0.24751481	0.01081991	0.06738824
RALGAPB	ENSG00000170471.16	3855.412	0.2577647	0.10963331	0.01083561	0.06746488
CPM	ENSG00000135678.13	1235.298	-0.5525008	0.37808067	0.01084514	0.06750308
S1PR2	ENSG00000267534.4	864.4978	0.4724395	0.28028866	0.01085264	0.06752485
ENSG00000279814	ENSG00000279814.1	138.9583	0.7324498	0.69646711	0.01085542	0.06752485
LDLRAD2	ENSG00000187942.12	51.95246	0.6270827	0.47865905	0.01086803	0.06758214
RPS6KA5	ENSG00000100784.13	1512.431	0.3960534	0.20151814	0.01087806	0.06760624
CCDST	ENSG00000236427.3	308.318	0.6201945	0.46914579	0.01088549	0.06760624
ZNF460-AS1	ENSG00000267871.7	23.12732	0.5141286	0.33032328	0.0108824	0.06760624
ENSG00000272980	ENSG00000272980.5	39.56082	-0.6782833	0.55881811	0.01088484	0.06760624
DDX24	ENSG00000089737.20	4130.69	-0.2867074	0.12511791	0.01089687	0.06765577
CSTF3	ENSG00000176102.14	780.276	0.2822158	0.12266756	0.01090987	0.06771535
ENSG00000259523	ENSG00000259523.1	25.61039	-0.5951306	0.43501055	0.01091734	0.0677406
DSP	ENSG00000096696.17	244.7392	-0.7329128	0.71831612	0.01092184	0.06774738
CYTOR	ENSG00000222041.13	525.3402	-0.5495517	0.37569554	0.01096535	0.06799611
ENSG00000279384	ENSG00000279384.1	51.34265	0.7248785	0.66989743	0.01097811	0.068054
NUP205	ENSG00000155561.16	2641.579	0.3388348	0.15729667	0.01099959	0.06816593
SNHG9	ENSG00000255198.7	74.85398	-0.5709486	0.40395896	0.01100567	0.0681824
EEPD1	ENSG00000122547.13	102.516	-0.5882026	0.42703503	0.01101514	0.06819856
ZNF717	ENSG00000227124.13	620.9236	0.4615245	0.26902027	0.01101194	0.06819856
GTF3C2	ENSG00000115207.16	1338.747	0.2753002	0.11916317	0.01104106	0.06833782
PSTK	ENSG00000179988.15	93.37373	0.3915645	0.19837584	0.011064	0.06845852
BRAP	ENSG00000089234.17	832.8356	0.243924	0.10307766	0.01108584	0.06855155
STAG3L4	ENSG00000291153.2	393.1856	0.3315732	0.15266271	0.01108593	0.06855155
CAMTA2-AS1	ENSG00000262678.2	115.9548	-0.3510139	0.16616547	0.0111065	0.06865745
ENSG00000287825	ENSG00000287825.4	32.6312	-0.5058946	0.32255185	0.01113015	0.06878228
CROT	ENSG00000005469.13	509.3693	0.3149275	0.14220588	0.01115978	0.06881688
PIEZO1	ENSG00000103335.23	3542.523	-0.4623886	0.27093914	0.01114089	0.06881688
XPO4	ENSG00000132953.19	1954.565	0.3883497	0.19597421	0.01115841	0.06881688
ITGA2	ENSG00000164171.12	2513.545	0.4587337	0.26692731	0.01115996	0.06881688
MEG8	ENSG00000225746.15	1324.954	0.7247052	0.68282821	0.01114778	0.06881688
URB1-AS1	ENSG00000256073.5	51.95752	-0.4563915	0.26421642	0.01114992	0.06881688
ENSG00000289551	ENSG00000289551.3	19.91399	0.6771843	0.56348026	0.01114978	0.06881688
PIGB	ENSG00000069943.11	355.7424	0.3740032	0.18405066	0.01118762	0.06894663
ENSG00000299955	ENSG00000299955.1	88.12849	0.4537272	0.26150596	0.01118949	0.06894663
ENSG00000307433	ENSG00000307433.1	116.9294	0.3749858	0.18486355	0.0111914	0.06894663
BRAF	ENSG00000157764.15	3233.35	0.4807542	0.29279564	0.0112033	0.06899862
ENSG00000272750	ENSG00000272750.1	69.67822	0.4829938	0.29553303	0.01121245	0.06903358
RIPK3	ENSG00000129465.17	117.263	-0.5280142	0.35105299	0.01122189	0.06907034
ENSG00000274370	ENSG00000274370.1	84.52159	0.5361833	0.36156316	0.01123328	0.06911905
GNA13	ENSG00000120063.11	4563.897	0.3852006	0.19363859	0.01125002	0.06920068
CDH6	ENSG00000113361.14	4046.967	0.5331108	0.35800177	0.0112671	0.06922017
NOL11	ENSG00000130935.11	1074.029	0.2878206	0.12645305	0.01125722	0.06922017
ADD3	ENSG00000148700.16	14281.63	0.4853783	0.29880894	0.01126403	0.06922017
BSCL2	ENSG00000168000.17	678.114	-0.507216	0.32540591	0.0112618	0.06922017
MIB1	ENSG00000101752.14	4364.587	0.4703299	0.28110654	0.01127648	0.06922772
CASZ1	ENSG00000130940.15	79.60085	-0.6242711	0.48152688	0.01127877	0.06922772
ENSG00000285679	ENSG00000285679.3	23.23962	0.6960983	0.60406952	0.01127201	0.06922772
MSH3	ENSG00000113318.12	729.9014	0.3682276	0.17981152	0.0112928	0.06928882
FNDC11	ENSG00000125531.8	11.35592	-0.6751781	0.56352447	0.01129569	0.06928882
SLC27A5	ENSG00000083807.11	73.27795	-0.374206	0.18467016	0.0113084	0.06934538
PYGB	ENSG00000100994.13	2741.076	-0.4489292	0.2570061	0.01131359	0.06935584
CPT1B	ENSG00000205560.15	195.9858	-0.520882	0.34321775	0.01133797	0.0694839
PHLDA1-DT	ENSG00000257839.2	17.08914	-0.6023719	0.45140548	0.01135755	0.06958246
TSPAN11	ENSG00000110900.17	5829.378	-0.6891367	0.59225927	0.01136497	0.06958511
FANCF	ENSG00000183161.6	305.3144	0.338768	0.15829044	0.01136421	0.06958511
DPYSL4	ENSG00000151640.14	49.7229	-0.7234459	0.70976077	0.01138937	0.06971306
CCDC124	ENSG00000007080.12	445.8886	-0.5186256	0.341048	0.01140628	0.06979369
APOL3	ENSG00000128284.22	705.3505	-0.5057164	0.32491775	0.01140956	0.06979369
CLK4	ENSG00000113240.15	1535.135	0.387014	0.1958895	0.01141483	0.06980447
ENSG00000250385	ENSG00000250385.2	61.9859	0.722596	0.72338821	0.01143317	0.06989513
SNORA31B	ENSG00000253051.1	32.39664	0.619345	0.83099255	0.01144181	0.06992647
ANKRD36B	ENSG00000196912.13	1458.637	0.5700241	0.40847232	0.01145922	0.06998986
ENSG00000289436	ENSG00000289436.2	14.9614	0.6577517	0.53697527	0.01145613	0.06998986
PPP1R12B	ENSG00000077157.24	6365.537	-0.5595194	0.39456215	0.01146658	0.06999187
ENSG00000249456	ENSG00000249456.1	99.48938	0.4603984	0.27099094	0.01146365	0.06999187
FRY	ENSG00000073910.23	972.0008	-0.5219883	0.34605272	0.01148161	0.07002873
RNF44	ENSG00000146083.14	908.7889	-0.3786155	0.1889883	0.01148426	0.07002873
DVL3	ENSG00000161202.21	2602.415	-0.3779421	0.18842572	0.01148458	0.07002873
RRP7BP	ENSG00000291035.2	248.6795	-0.4436604	0.25232133	0.0114867	0.07002873
ZBTB44	ENSG00000196323.15	5054.865	0.4156677	0.22305599	0.01150366	0.07010542
LINC01410	ENSG00000238113.8	289.0304	0.4726636	0.28560699	0.01150632	0.07010542
ASB7	ENSG00000183475.14	695.9003	0.2424202	0.10296386	0.01151602	0.07014304
LZTS2	ENSG00000107816.18	1194.552	-0.4119144	0.21948552	0.01153049	0.07020965
ENSG00000278987	ENSG00000278987.1	20.50421	0.6288147	0.49271321	0.01153723	0.07022924
MT-ND6	ENSG00000198695.2	936.8612	-0.5929681	0.44147219	0.01158017	0.07046905
NOTCH2NLB	ENSG00000286019.4	1829.118	0.5903138	0.43829802	0.01161775	0.07067613
CD52	ENSG00000169442.9	90.55674	-0.6810387	0.58339754	0.01162561	0.07069143
RUVBL1	ENSG00000175792.13	576.7157	-0.3456329	0.16388932	0.01163092	0.07069143
ORAI1	ENSG00000276045.5	356.4481	-0.4898232	0.30726704	0.01163051	0.07069143
ABCD3	ENSG00000117528.15	4318.655	0.4102851	0.21852359	0.01165653	0.07082544
NDUFB2	ENSG00000090266.14	728.9608	-0.3602418	0.17488901	0.01167371	0.07088651
ENSG00000279821	ENSG00000279821.1	22.01671	-0.6112924	0.46895016	0.0116712	0.07088651
HERC3	ENSG00000138641.20	1214.893	0.3760643	0.18759559	0.01167762	0.07088864
USP10	ENSG00000103194.17	1792.074	0.2461875	0.10509432	0.01168472	0.07091012
IL1B	ENSG00000125538.12	559.5282	-0.7143794	0.67905534	0.01169063	0.07092435
KLRD1	ENSG00000134539.18	134.1855	-0.6834386	0.5909367	0.01171673	0.07106099
PLEKHG2	ENSG00000090924.16	1709.636	-0.5220362	0.34868346	0.0117389	0.07117379
ENSG00000299072	ENSG00000299072.1	55.67264	0.6973305	0.6238758	0.01174503	0.07118924
PRRX1	ENSG00000116132.12	623.5357	-0.704112	0.64317341	0.01175152	0.07120693
FAM135A	ENSG00000082269.18	1927.849	0.4508629	0.26214473	0.0117584	0.07122689
TOP1	ENSG00000198900.7	2172.181	-0.2956547	0.1319576	0.01176429	0.07124088
LIN54	ENSG00000189308.12	831.9718	0.3030608	0.13637871	0.01178051	0.07131744
KCNJ8	ENSG00000121361.6	65.64949	-0.6589286	0.54631504	0.01179042	0.07135569
PYCARD	ENSG00000103490.14	215.3304	-0.5528673	0.38961376	0.01179661	0.07137144
ENG	ENSG00000106991.16	3574.223	-0.4757631	0.29174769	0.01182169	0.07150144
MAP1LC3C	ENSG00000197769.7	45.20583	-0.7088711	0.66409996	0.0118265	0.0715088
FOXP1	ENSG00000114861.25	2395.713	0.5111102	0.3358292	0.01185253	0.07164444
BCL2L12	ENSG00000126453.12	87.01091	-0.3369248	0.15848733	0.01189208	0.07183985
PTCD3	ENSG00000132300.20	2119.034	0.2966848	0.13281974	0.01189086	0.07183985
MIR4453HG	ENSG00000268471.7	133.1917	0.3744969	0.18712628	0.01190123	0.07187333
DKK2	ENSG00000155011.10	39.12428	-0.6594121	0.55047722	0.01193713	0.07206828
DGLUCY	ENSG00000133943.22	888.6126	-0.3179755	0.14603239	0.01196126	0.07219202
P2RY1	ENSG00000169860.7	1373.25	0.5249551	0.35477979	0.01197101	0.0722155
TOGARAM2	ENSG00000189350.14	34.95975	-0.6871582	0.60717011	0.01197241	0.0722155
MOB4	ENSG00000115540.16	1292.655	0.3186423	0.14652748	0.01198958	0.0722324
IGSF21	ENSG00000117154.13	395.3783	-0.5527992	0.39168203	0.01198316	0.0722324
ENSG00000274561	ENSG00000274561.1	69.58618	0.4932984	0.31454622	0.01198083	0.0722324
ENSG00000287769	ENSG00000287769.2	47.66415	-0.4038833	0.21392023	0.01198973	0.0722324
CFAP58	ENSG00000120051.15	11.7367	-0.5970096	0.45326034	0.01200197	0.07224051
ARL8B	ENSG00000134108.15	2834.719	0.3194881	0.14708602	0.01199548	0.07224051
ADAR	ENSG00000160710.20	11433.66	0.3096686	0.14088688	0.01199877	0.07224051
FPGT-TNNI3K	ENSG00000259030.8	518.4893	0.5010439	0.32473209	0.01203373	0.07240979
GRASLND	ENSG00000228203.9	12.96961	-0.6576973	0.54969904	0.01203818	0.07241467
PCDHA12	ENSG00000251664.5	85.63754	-0.6946774	0.62898899	0.01204842	0.07245437
YOD1	ENSG00000180667.11	1323.188	0.4575869	0.27191461	0.01205598	0.07247792
FAM131B	ENSG00000159784.19	144.3242	-0.5872081	0.44013464	0.01206451	0.0725073
LARP4B	ENSG00000107929.17	2871.539	0.2835181	0.12558172	0.01206942	0.07250856
ENSG00000205037	ENSG00000205037.3	15.96101	-0.6901013	0.61781565	0.01207201	0.07250856
TMUB1	ENSG00000164897.15	277.1304	-0.5014799	0.32571348	0.01208181	0.07254552
KANSL2	ENSG00000139620.14	841.0564	0.2959542	0.13279968	0.01209304	0.07259106
ENSG00000286423	ENSG00000286423.2	91.54702	0.6760123	0.58645866	0.01209794	0.07259856
LINC03002	ENSG00000232310.11	27.53164	-0.6497758	0.53745165	0.01211552	0.07268215
CXCL2	ENSG00000081041.10	123.9334	-0.7023999	0.65741621	0.012123	0.0726945
AIM2	ENSG00000163568.18	92.66145	-0.6158291	0.48295723	0.01212488	0.0726945
GKAP1	ENSG00000165113.14	142.5714	0.4357655	0.24782181	0.01216144	0.07282591
MFAP4	ENSG00000166482.13	614.5139	0.6200247	0.48997768	0.01216126	0.07282591
SLC25A22	ENSG00000177542.12	164.4894	-0.5033427	0.32874754	0.01215622	0.07282591
MORN2	ENSG00000188010.17	164.7913	-0.3523514	0.17041394	0.01215541	0.07282591
ARMC8	ENSG00000114098.19	1684.991	0.344135	0.16438943	0.01217187	0.07286644
ENSG00000302932	ENSG00000302932.1	69.57804	0.7078407	0.69438816	0.01219271	0.07296922
RPL15	ENSG00000174748.23	18796.65	-0.4003468	0.21149396	0.01219889	0.07298425
ENSG00000269895	ENSG00000269895.1	27.68563	0.7069857	0.68945655	0.0122135	0.07304973
CDC42EP1	ENSG00000128283.8	1608.875	-0.5326882	0.36776788	0.01224788	0.07322638
C2CD6	ENSG00000155754.16	77.63735	0.6776264	0.59438279	0.0122504	0.07322638
MECOM	ENSG00000085276.19	241.0092	-0.5037156	0.33044367	0.01229137	0.07344925
TANGO2	ENSG00000183597.17	724.5746	-0.4577492	0.27379119	0.01229845	0.07346948
DYSF	ENSG00000135636.17	670.8053	-0.552381	0.39488956	0.01230996	0.07351616
BMERB1	ENSG00000166780.12	939.315	-0.3992648	0.21101408	0.01232104	0.07356028
HERPUD1	ENSG00000051108.16	3667.306	-0.3982187	0.21006559	0.01233218	0.0736047
GRAMD4	ENSG00000075240.18	775.5015	-0.469585	0.28835893	0.01235576	0.07363502
SLA2	ENSG00000101082.15	29.90517	-0.5669144	0.41541713	0.0123542	0.07363502
ANKRD49	ENSG00000168876.10	460.9395	0.3316305	0.15606239	0.01235376	0.07363502
WHR1	ENSG00000204344.17	296.3649	-0.3492585	0.16866742	0.01234494	0.07363502
ENSG00000227355	ENSG00000227355.6	26.23444	0.5154189	0.346132	0.01235306	0.07363502
LINC01239	ENSG00000234840.3	96.06306	0.7046953	0.69176999	0.01236263	0.07365387
GNAI3	ENSG00000065135.13	3072.764	0.3123006	0.14340358	0.01238726	0.07377853
MAP3K6	ENSG00000142733.19	787.9195	-0.5006855	0.32749392	0.01239506	0.07380291
CD40	ENSG00000101017.16	329.4502	-0.4824734	0.30465847	0.01241459	0.07389709
TM9SF3	ENSG00000077147.17	8099.418	0.3401067	0.16222177	0.0124323	0.07398039
TGS1	ENSG00000137574.12	784.1108	0.3385322	0.16112818	0.01244354	0.0740251
LINC02987	ENSG00000267575.10	352.8084	0.3679571	0.18371511	0.01246123	0.0741082
H4C8	ENSG00000158406.6	644.0334	0.6526157	0.55024805	0.01247267	0.07415406
UFL1-AS1	ENSG00000233797.5	30.11375	0.6202631	0.4958668	0.01248778	0.0742217
SHROOM3	ENSG00000138771.17	4555.958	0.5150181	0.3470708	0.01250593	0.07428905
MTX1	ENSG00000173171.15	340.8921	-0.4127058	0.22529825	0.01252524	0.07428905
HIC1	ENSG00000177374.14	509.6764	-0.6653676	0.57586647	0.01251548	0.07428905
BTN3A2	ENSG00000186470.15	1386.51	-0.5311214	0.36853737	0.01252222	0.07428905
ZNF534	ENSG00000198633.12	33.48936	0.6109659	0.48176989	0.01251157	0.07428905
ENSG00000235833	ENSG00000235833.1	51.12955	0.7025544	0.69930016	0.01251986	0.07428905
GEMIN7-AS1	ENSG00000267348.3	32.13115	-0.4015227	0.2140448	0.01250788	0.07428905
OTOGL	ENSG00000165899.12	244.4824	-0.6713823	0.58890615	0.01252934	0.07429119
ILDR2	ENSG00000143195.14	1378.208	-0.660129	0.5659303	0.01253577	0.07430718
ZDHHC6	ENSG00000023041.13	1411.762	0.2802289	0.12461003	0.01255703	0.07434462
LMAN1	ENSG00000074695.7	4366.363	0.3201471	0.14884541	0.01255435	0.07434462
GTF2F1	ENSG00000125651.15	1067.68	-0.3846548	0.19843748	0.01255269	0.07434462
ENSG00000299452	ENSG00000299452.1	40.96598	-0.67037	0.58732303	0.01255081	0.07434462
RPL36AP37	ENSG00000244398.1	277.8805	-0.3987237	0.21162429	0.01257198	0.07441102
CD46	ENSG00000117335.22	7973.078	0.3469178	0.16761927	0.01258127	0.07444383
POLR3D	ENSG00000168495.14	957.2282	-0.3721809	0.18768163	0.01258601	0.07444977
GPAT4	ENSG00000158669.12	2422.762	0.2846159	0.12716623	0.01259108	0.0744576
CEP120	ENSG00000168944.17	1825.697	0.3219218	0.15012436	0.01259983	0.07446508
FAR1	ENSG00000197601.16	4160.464	0.3571025	0.17544131	0.01259621	0.07446508
ZSCAN29	ENSG00000140265.15	1072.466	0.2626208	0.11506597	0.01263491	0.07462808
ENSG00000289065	ENSG00000289065.2	9.786585	-0.5425225	0.38510123	0.01263332	0.07462808
RTN2	ENSG00000125744.13	91.39691	-0.4968615	0.32473377	0.01263912	0.07463082
ZNF470-DT	ENSG00000269696.4	41.32322	0.4615172	0.28073651	0.01264862	0.07466475
